Dialetto,Italiano
accr.,accrescitivo
agg-,"aggettivo,  aggettivamente"
anni.,analogo
ali/.,"antico,  anticamente"
antiq.,antiquato
art.,articolo
astron.,astronomico
avv.,"avverbio,  avverbiale"
avvers.,avversativo
bombiti.,bambinesco
burocr.,burocratico
cotti»! ere.,"commerciale,  commer¬"
cotnun .,comunemente
cotti.,continuato
deriv.,derivato
diluiti.,diminutivo
disus,disusato
eccl.,ecclesiastico
enfat.,enfatico
euf.,eufemismo
fattiti.,"familiare,  familiarmente."
fatichili.,fanciullesco
fantn.,femminile
ftg.,"figurato,  figuratamente"
fioretti.,fiorentino
gen.,"generale,  generalmente,  ge¬"
geogr.,geografico
geo  tu.,geometrico
gerì».,germaniSmo
giudìs.,giudiziario
tini/.,imitativo
iron.,"ironico,  ironicamente"
it.,italiano
leg.,legale
inasc/t.,maschile
in  ed.,medico
mitiacc.,minaccioso
tnilol.,mitologico
neol.,neologismo
num.,"numero,  numerale."
onoin.,"onomatopea,  onomatopeico"
pari.,particella
patite.,particolarmente
pers.,persona
p.  e.,per  esempio
pleon.,"pleonasmo,  pleonastico"
piar.,plurale
poet.,poètico
"popol,",popolare
poster.,posteriore
proti.,"pronome,  pronominale"
propr.,propriamente
rafforz.,rafforzativo
rusi.,rustico
schcrs.,scherzevolmente
scìent.,scientifico
solatii.,solamente
sosi.,sostantivo
sotti nt.,sottinteso
spec.,specialmente
terni,termine
tose.,toscano
treni.,trentino
triv.,triviale
ucc.,uccello
J  V.,vedi
volg.,volgarmente
a,prep.  di  vario  uso  come  in  Italiano  :  a;
in.  Vago  a  casa,vado  a  casa.  Nat  a
Perini,"nato  in,  a  Pòrgine  eie.  Da  V  a"
a  la  illa,"tutto,  dal  principio  alla  line,"
"domati  a  bto,  a  quìndese","oggi,  domani"
*aada  (antiq.),aia.
"abàc,  àbaco","àbbaco,  abbachino,  librèttine."
Studiar  !  a.,"far  gli  abbachini,  imparare,"
a  bada.  Dar  a  b.,"dar  retta,  dare  ascolto."
Tegnir  ab.,"tenere  in  aspettazione,"
abadar,badare  ( volg .  abbadare)  ne'  vari
abasamént,abbassamento;  basamento;
abaso  !,esclam.  abbasso  !  giù  !
abastanza,"abbastanza,  bastantemente,"
assai.  Averne  a.,"averne  assai,  abbastan¬"
a  bataglión,"in  gran  copia,  abbondante¬"
abate,"abate;  chièrico,"
abatón,ubatone;  abataccio  {spreg.)
abatù,"abbattuto,  scorato,  avvilito  ;  di¬"
*a  bèc  a  bèc,"in  stretta  confabulazione,"
"abecé,  abecé","abbicci,  alfabeto,"
"abecedari,  abecedari",abbecedari o.
a  bèl  asi,"a  bell’  agio,  con  tutto  il  cò¬"
a  bèl  bèl,"bel  bollo,  adagio  adagio,  pian"
a  bel  fat,V.  fot.
abelimént,"abbellimento,  oruameuto."
abelir,"abbellire,  adornare."
*a  bèl  òio,"a  cavalluccio,"
àbile,"àbile  ;  acconcio,  idòneo,"
abilità,"abilità,  attitudine  ;  destrezza,"
abilitar,"rendere  o  dichiarar  àbile,  idòneo,"
*abilociar  (antiq.),adocchiare.
*a  bina,in  fila.
*a  bina  e  molinèl,V.  merle r ;  fig.  fe¬
abis,"abisso,  voràgine,  bàratro  ;  anco  nel"
*a  bisa  bòa,"tortuosamente,  serpeggiando;"
àbit,"àbito,  vestito,  vestimento  ;  a.  dal  di"
de  ìaòr,àbito  per  i  giorni  feriali  ;  da  le
feste  -per  le  feste  ;  da  strapàz,da  stra¬
pazzo  ;  da  sposa,"nuziale,  veste  nuziale  ;"
abitante  (più  spesso  nel  piar.  ),abitanti  ;
abitar,abitare  ;  dimorare  ;  esser  domi¬
ciliato.  a.  del  tèmp  eri  t'  eri  sito,soggior¬
nare.  A.  ensèi/ia  con  altri,"convivere,"
coabitale.  Che  no  se  pòi  a.,"inabitàbile,"
abitazicn,abitazione;  casa;  abitato;  do¬
abitln,"abitino,  vestitino:  spreg.  vestitocelo."
A.  del  Càrmine,abitino  del  C.
abitòt,vestiluccio.
abituar,"abituare,  assuefare,  avvezzare  :"
abitùdine,"àbito,  abitùdine,  assuefazione;"
a  bizèfe,"in  gran  copia,  abbondantemente,"
abocamént,"abboccamento,  colloquio,"
abonamént,"abbonamenro,  associazione,"
abonar,"abbonare,  così  per  menar  buona"
abondante,"abbondante,  copioso  ;  che  sor¬"
abondantemént,"abbondantemente,  d’ av¬"
abondanza,"abbondanza,  copia,  dovizia,"
abondanziós  ian),"d'  abbondanza,  di  buon"
abòno,"abonamento,  abbuono  ;  condono,"
a  bòn’óra,"a,  di  buon’  ora,  di  buon  mattino,"
*a  bonoriènta,"di  bollissimo  ora,  per  tem¬"
a  bon  rènder,a  buon  rendere.
"a  bòn  zòg,  ( nel  gioco)","con  riserva,  a  salvo,"
abortir,"abortire,"
aborto,aborto.
*a  botafàs,"alla  rinfusa,  a  rilascio,  mesco¬"
abòz,abbozzo  ;  schizzo  ;  abbozzatura  ;  eri
abozar,"abbozzare  schizzare,"
abràz,"abbraccio,  amplesso;  abbracciamento,"
a  bràz,"trascuratamente,  sbadatamente,  alla"
a  brazacòl  ciapar,"abbracciar  strettamente,"
♦a  brazante,a  braccetto
abrazar,"abbracciare,  così  per  dare  un"
a  brazi,a  bracciate.
a  brazi  avèrti,"con  gran  desiderio,  con"
abreviar,"abbreviare,  tagliar  corto."
